image_path,product_link
public\images\1.jpg,https://www.myntra.com/sarees/satrani/satrani-ethnic-motifs-woven-design-ready-to-wear-saree/30106420/buy
public\images\2.jpg,https://www.myntra.com/saree-blouse/soch/soch-round-neck-saree-blouse/25305598/buy
public\images\3.jpg,https://www.myntra.com/sarees/saree+mall/saree-mall-beads-and-stones-pure-chiffon-bagru-sarees/29492882/buy
public\images\4.jpg,https://www.myntra.com/earrings/cierra/cierra-gold-plated-artificial-stones-and-beads-studded-jhumki/28273540/buy
public\images\5.jpg,https://www.myntra.com/dupatta/keshubaba/keshubaba-ethnic-motifs-woven-design-zari-art-silk-dupatta/24961374/buy
public\images\6.jpg,https://www.myntra.com/sarees/tikhi+imli/tikhi-imli-white--yellow-satin-printed-saree/11263896/buy
public\images\7.jpg,https://www.myntra.com/saree-blouse/oomph%21/oomph-hecked-boat-neck-saree-blouse/25302164/buy
public\images\8.jpg,https://www.myntra.com/sarees/sangria/sangria-ethnic-motifs-printed-zari-saree/23708320/buy
public\images\9.jpg,https://www.myntra.com/saree-blouse/soch/soch-black-embellished-georgette-saree-blouse/20438090/buy
public\images\10.jpg,#
